source	target	label	intervention	effect_mean	effect_std	n_cells
FOS	FOS	1	ablation	0.8091217676798502	0.5852296737177798	12
KLF2	CXCR4	1	ablation	-0.03148778279622396	0.027293068453836097	12
JUN	JUN	1	ablation	-0.31832928127712673	0.6673389687642884	9
STAT4	PRF1	1	ablation	0.02195143699645996	0.011471320975608525	8
HIF1A	AMH	1	ablation	0.008168356759207589	0.01023791381234335	7
GATA3	GATA3	1	ablation	-1.0957806905110676	0.6546030517091043	6
STAT4	S100A4	1	ablation	0.07265027364095052	0.05230755710741833	6
HIPK2	MEF2C	1	ablation	0.030347824096679688	0.031456038660588874	7
CIITA	HLA-DRA	1	ablation	-0.055268287658691406	0.035288685063713444	6
GATA3	STAT4	1	ablation	0.03538665771484375	0.022214210611566084	5
AKR1B1	BTG1	1	ablation	0.02340984344482422	0.026511102333384055	6
MYBL1	NCL	1	ablation	-0.01918765476771763	0.026544474767851066	7
CIITA	HLA-DPB1	1	ablation	-0.006572405497233072	0.017351228882874464	6
PCBD1	FXYD2	1	ablation	-0.11010780334472656	0.08719557368907209	5
PAX5	BLK	1	ablation	-0.13789787292480468	0.1322456787447802	5
FOS	GSTP1	1	ablation	0.07986335754394532	0.0331801082214316	5
TCF4	VIM	1	ablation	0.03070831298828125	0.016353436848730973	4
TCF4	CD44	1	ablation	0.026933670043945312	0.016523108116588584	5
HIF1A	AKR1B1	1	ablation	-0.013210296630859375	0.011048148761314712	4
HIF1A	ITGB2	1	ablation	-0.01177072525024414	0.007614932081507722	4
AKR1B1	VIM	1	ablation	0.0163577397664388	0.03071154015724217	6
ETS1	LCK	1	ablation	0.0059528350830078125	0.012318775085541987	5
ETS1	CD8A	1	ablation	0.0030045509338378906	0.014294599896613117	4
HIF1A	VIM	1	ablation	0.0015854835510253902	0.009478351023621687	4
GATA3	CD8A	1	ablation	-0.047454833984375	0.03866372840710364	3
TBX21	GATA3	1	ablation	-0.042218526204427086	0.049438323883617574	3
JUN	ETS1	1	ablation	-0.02343273162841797	0.052702533965860235	4
ETS1	IL2RB	1	ablation	-0.028460979461669922	0.008411364418288679	4
HIF1A	SDHB	1	ablation	-0.026009241739908852	0.03560728917001604	3
PAX5	CD79A	1	ablation	-0.10382270812988281	0.24962121602774082	5
HIF1A	LDHA	1	ablation	0.006991068522135417	0.013344433353570008	3
REL	BCL2A1	1	ablation	0.001736323038736979	0.016586652049910795	3
IRF4	MS4A1	1	ablation	-0.09027290344238281	0.028781239911119316	2
EGR1	CD28	1	ablation	0.06648826599121094	0.07315074462508385	2
REL	BIRC3	1	ablation	0.05969524383544922	0.015090594815628586	2
IRF8	CYBB	1	ablation	0.027922312418619793	0.05024170423234834	3
HDGF	VIM	1	ablation	0.049457550048828125	0.02757863538548135	3
LRRFIP1	TNF	1	ablation	-0.040256500244140625	0.0029644407368622427	2
KLF6	PTTG1	1	ablation	0.03920555114746094	0.020724111174988725	2
JUN	PDHA1	1	ablation	-0.036292076110839844	0.027897841966330977	2
