source	target	label	intervention	effect_mean	effect_std	n_cells
EGR1	STIM1	1	ablation	0.0018463134765625	0.0	1
AKR1B1	PMEPA1	1	ablation	0.032623291015625	0.0	1
HIF1A	SDHB	1	ablation	-0.026009241739908852	0.03560728917001604	3
HDGF	VIM	1	ablation	0.04981517791748047	0.03899224119355064	2
GATA3	GATA3	1	ablation	-1.0957806905110676	0.6546030517091043	6
MEF2C	JUN	1	ablation	0.022217750549316406	0.001155835173562758	2
ATM	BCL2	1	ablation	-0.000125885009765625	0.0	1
AKR1B1	VIM	1	ablation	0.008969306945800781	0.02651185643886456	4
EGR1	FLT1	1	ablation	0.058605194091796875	0.0	1
GATA3	CD40LG	1	ablation	-0.06665420532226562	0.0	1
GATA3	STAT4	1	ablation	0.03538665771484375	0.022214210611566084	5
REL	CCL5	1	ablation	-0.030252456665039062	0.0	1
STAT4	PRF1	1	ablation	0.02225957598005022	0.012354629732873438	7
LRRFIP1	TNF	1	ablation	-0.040256500244140625	0.0029644407368622427	2
GATA3	CD8A	1	ablation	-0.047454833984375	0.03866372840710364	3
HIF1A	VIM	1	ablation	0.0015854835510253902	0.009478351023621687	4
AKR1B1	BTG1	1	ablation	0.027418136596679688	0.02753270925154054	5
ETS1	LCK	1	ablation	0.007967472076416016	0.013239255192148625	4
JUN	ITGAX	1	ablation	-0.027154922485351562	0.014037260777644323	2
TBX21	GATA3	1	ablation	-0.042218526204427086	0.049438323883617574	3
EGR1	IFNG	1	ablation	-0.11931037902832031	0.0	1
JUN	PDHA1	1	ablation	-0.036292076110839844	0.027897841966330977	2
JUN	JUN	1	ablation	-0.38506078720092773	0.6805572962428109	8
HIF1A	ITGB2	1	ablation	-0.01177072525024414	0.007614932081507722	4
BACH2	BCL2	1	ablation	-0.00323486328125	0.0	1
PAX5	CD79A	1	ablation	-0.010103861490885414	0.107556648966348	3
ELF1	CYBB	1	ablation	0.02948474884033203	0.028105541635792663	2
EGR1	AKR1B1	1	ablation	-0.011162757873535156	0.0011720195633909412	2
IRF8	CYBB	1	ablation	0.056529998779296875	0.011749867015261081	2
FOS	GSTP1	1	ablation	0.08270072937011719	0.03760613756974861	4
CIITA	HLA-DPB1	1	ablation	-0.007773590087890625	0.019118318349847684	5
TCF4	VIM	1	ablation	0.03070831298828125	0.016353436848730973	4
EGR1	IL2RB	1	ablation	0.03811454772949219	0.0	1
TCF4	CD44	1	ablation	0.02689981460571289	0.01907904158595625	4
PAX5	BLK	1	ablation	-0.09666204452514648	0.10946507405035522	4
ETS1	MMP9	1	ablation	0.006114959716796875	0.0	1
JUN	SYK	1	ablation	0.017988204956054688	0.00432392948242964	2
EGR1	LTB	1	ablation	0.009759902954101562	0.029849409639779414	2
ETS1	CD8A	1	ablation	0.0030045509338378906	0.014294599896613117	4
PCBD1	FXYD2	1	ablation	-0.12162256240844727	0.09619507741728929	4
STAT4	S100A4	1	ablation	0.07265027364095052	0.05230755710741833	6
JUN	GSTP1	1	ablation	0.015420913696289062	0.019089487802342212	2
ATM	GADD45A	1	ablation	0.002361297607421875	0.0	1
EGR1	CD28	1	ablation	0.06648826599121094	0.07315074462508385	2
HIF1A	LDHA	1	ablation	0.006991068522135417	0.013344433353570008	3
REL	BIRC3	1	ablation	0.05969524383544922	0.015090594815628586	2
FOS	FOS	1	ablation	0.7954357147216796	0.55750009123491	10
JUN	ETS1	1	ablation	-0.03199895222981771	0.06104141886688829	3
JUN	ITGB8	1	ablation	0.016124725341796875	0.0	1
REL	BCL2A1	1	ablation	0.001736323038736979	0.016586652049910795	3
KLF2	CXCR4	1	ablation	-0.031355667114257815	0.028343591608928655	10
AKR1B1	STIM1	1	ablation	0.015659332275390625	0.0	1
EGR1	TCF4	1	ablation	0.060436248779296875	0.0	1
KLF6	PTTG1	1	ablation	0.03920555114746094	0.020724111174988725	2
ETS1	IL2RB	1	ablation	-0.030094146728515625	0.009493322133842382	3
FOS	PDHA1	1	ablation	-0.02160167694091797	0.04011975368491407	2
HIPK2	MEF2C	1	ablation	0.02018419901529948	0.017879175976060056	6
MYBL1	NCL	1	ablation	-0.02215156555175781	0.031770194250428645	5
HIF1A	AKR1B1	1	ablation	-0.013210296630859375	0.011048148761314712	4
CIITA	HLA-DRA	1	ablation	-0.059854888916015626	0.0374010331903382	5
ETS1	CD6	1	ablation	-0.0035343170166015625	0.0	1
JUN	TNF	1	ablation	-0.17340660095214844	0.0	1
HIF1A	AMH	1	ablation	0.008168356759207589	0.01023791381234335	7
IRF4	MS4A1	1	ablation	-0.09027290344238281	0.028781239911119316	2
FOXP3	IL2RA	1	ablation	-0.2686786651611328	0.0	1
