source	target	label	intervention	effect_mean	effect_std	n_cells
PPARG	PLIN2	1	ablation	-0.06697845458984375	0.11793177651201861	10
STAT4	S100A4	1	ablation	-0.0009241104125976562	0.001528076139610974	2
EGR1	FLT1	1	ablation	-0.16275787353515625	0.0	1
ZEB2	CDH1	1	ablation	-0.00736236572265625	0.0104713002188346	2
EGR1	CACNA1H	1	ablation	0.09315872192382812	0.0	1
AKR1B1	TRPS1	1	ablation	0.00944028581891741	0.08350611396075881	7
AKR1B1	TCF7L2	1	ablation	0.034816741943359375	0.13158003494974918	10
SPI1	ITGB2	1	ablation	-0.1630237579345703	0.21824585523773973	10
SPI1	FLI1	1	ablation	-0.019016838073730467	0.077456892078181	10
ZBTB16	CXCR4	1	ablation	0.009295225143432617	0.011489504896223534	8
HIF3A	EPAS1	1	ablation	-0.03587532043457031	0.0	1
KLF2	CXCR4	1	ablation	-0.08963279724121094	0.16658325056582718	10
FOXO1	CXCR4	1	ablation	-0.013701915740966797	0.014213572793660601	4
ERG	CDH5	1	ablation	-0.009479522705078125	0.0	1
EPAS1	SERPINE1	1	ablation	0.012410481770833332	0.033550705146868864	3
EGR1	CNTN1	1	ablation	-0.03747367858886719	0.0	1
FLI1	PHLDA1	1	ablation	-0.014463424682617188	0.013364593702556294	3
EGR1	PPARG	1	ablation	0.024491882324218752	0.06309375287946913	10
GATA3	CXCL1	1	ablation	-0.07541465759277344	0.0	1
PPARG	GK	1	ablation	-0.09107081095377605	0.16646562322386094	9
PPARG	CD36	1	ablation	-0.06370887756347657	0.06773368237544779	10
ATF3	MMP2	1	ablation	0.01716740926106771	0.017520283731571676	3
RUNX3	TCF4	1	ablation	-0.002857208251953125	0.04226013923969132	2
FOXO1	PDGFB	1	ablation	-0.0446319580078125	0.0	1
TCF4	VIM	1	ablation	0.037705421447753906	0.024324731798787212	8
KLF2	PPARG	1	ablation	-0.062031851874457464	0.13192548721118655	9
PPARG	MMP9	1	ablation	-0.7026824951171875	0.0	1
FOSB	CXCL8	1	ablation	-0.0286712646484375	0.0	1
SPI1	HCK	1	ablation	-0.13814659118652342	0.10549712116147952	10
KLF4	ATF3	1	ablation	-0.11668141682942708	0.06402814370253788	6
FOSB	TIMP1	1	ablation	0.02858695983886719	0.029460166033182186	10
ETS1	F13A1	1	ablation	-0.14035415649414062	0.0	1
RUNX3	GATD3	1	ablation	-0.008825302124023438	0.0	1
KLF2	THBD	1	ablation	-0.16298484802246094	0.1187968104483805	3
